AS_OF_DATE,CUSTOMER_ID,ACCOUNT_ID,SEGMENT,BUCKET,OUTSTANDING,INSTALMENT,EIR,REMAINING_TERM
2019-11-30,00000000147172,551084402,HU,4,214547.19,9657.01,0.06939445,0.0
2019-11-30,00000000149971,551086221,HU,0,10791.57,11073.83,0.06939445,1.0
2019-11-30,00000000150521,551086536,HU,1,7541.94,9144.86,0.06078942,0.0
2019-11-30,00000000150301,551086599,HU,4,221676.49,9972.9,0.06939445,0.0
2019-11-30,00000000073929,551087097,HU,4,395389.84,9623.36,0.06252205,0.0
2019-11-30,00000000150168,551087106,HU,1,9071.0,10749.53,0.07109835,0.0
2019-11-30,00000000151875,551087503,HU,4,535933.83,9209.35,0.05730626,0.0
2019-11-30,00000000153138,551088514,HU,0,7659.68,7665.42,0.053798769999999996,1.0
2019-11-30,00000000151746,551088549,HU,0,28764.95,9669.16,0.07109835,3.0
2019-11-30,00000000152952,551088910,HU,4,324670.01,9262.62,0.06252205,1.0
2019-11-30,00000000154022,551089323,HU,4,752905.24,9142.99,0.06252205,1.0
2019-11-30,00000000154662,551089474,HU,0,8906.609999999999,8934.58,0.06252205,2.0
2019-11-30,00000000155362,551089692,HU,1,6000.84,6000.93,0.06768493,1.0
2019-11-30,00000000156330,551090185,HU,0,8278.1,8303.74,0.0642488,2.0
2019-11-30,00000000156617,551090523,HU,4,684403.39,9900.93,0.06252205,1.0
2019-11-30,00000000155751,551090661,HU,0,22058.420000000002,11080.37,0.07617697,2.0
2019-11-30,00000000157307,551091064,HU,1,5516.57,5524.3,0.0642488,1.0
2019-11-30,00000000159497,551091904,HU,4,452579.34,10253.27,0.06252205,1.0
2019-11-30,00000000160096,551092982,HU,4,514917.21,9667.29,0.07279669,2.0
2019-11-30,00000000161864,551093007,HU,0,10269.119999999999,5163.55,0.06939445,2.0
2019-11-30,00000000160697,551093258,CU,0,12709.44,6387.85,0.05658066,3.0
2019-11-30,00000000159387,551093311,HU,0,27498.92,9262.62,0.06252205,4.0
2019-11-30,00000000164072,551094239,HU,0,10015.71,10078.5,0.07279669,2.0
2019-11-30,00000000163174,551094521,HU,1,7429.91,7429.91,0.0587918,1.0
2019-11-30,00000000161515,551094551,HU,0,18176.769999999997,9122.43,0.06078942,2.0
2019-11-30,00000000164959,551094798,HU,0,8371.759999999998,8406.54,0.05699245,2.0
2019-11-30,00000000166041,551095597,HU,0,8039.05,8063.55,0.05699245,2.0
2019-11-30,00000000149909,553086153,HU,0,18911.76,6346.73,0.07871,3.0
